District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Ludhiana,Rural,100,45.1,7.1,87.5
Ludhiana,Total,100,42.5,5.8,93.3
Ludhiana,Urban,100,40.9,4.9,96.9
Moga,Rural,100,45.2,7.4,85.4
Moga,Total,100,42.7,7.3,87.6
Moga,Urban,100,34.8,6.7,94.7
Firozpur,Rural,100,50.9,10.8,66.6
Firozpur,Total,100,48.2,9.7,73.2
Firozpur,Urban,100,41.1,7.1,90.7
Muktsar,Rural,100,52.8,10.7,72.3
Muktsar,Total,100,49.2,10.2,77.3
Muktsar,Urban,100,40.3,9.1,89.8
Faridkot,Rural,100,49,7.7,80.1
Faridkot,Total,100,45.9,7.9,84.6
Faridkot,Urban,100,40.4,8.1,92.8
Bathinda,Rural,100,51.1,7.4,84.3
Bathinda,Total,100,44.4,6.7,87.4
Bathinda,Urban,100,32.4,5.4,93.1
Mansa,Rural,100,46.5,7.2,62.9
Mansa,Total,100,43.8,7,67.7
Mansa,Urban,100,34.1,5.9,85
Patiala,Rural,100,48,7.1,77.3
Patiala,Total,100,41.4,5.9,85.6
Patiala,Urban,100,32.2,4.2,96.9
Amritsar,Rural,100,55.2,7.8,60.8
Amritsar,Total,100,48.1,6.5,79
Amritsar,Urban,100,42.5,5.4,93.4
Tarn Taran,Rural,100,55.7,8.1,64.8
Tarn Taran,Total,100,54.1,7.9,67.8
Tarn Taran,Urban,100,43.6,7.1,87.7
Rupnagar,Rural,100,35.6,6,56.9
Rupnagar,Total,100,33.4,5.8,66.5
Rupnagar,Urban,100,27.6,5,91.7
Sahibzada Ajit Singh Nagar,Rural,100,43.2,7.3,60.7
Sahibzada Ajit Singh Nagar,Total,100,31.9,5.2,79.1
Sahibzada Ajit Singh Nagar,Urban,100,23.7,3.8,92.4
Sangrur,Rural,100,45.7,6.1,78.6
Sangrur,Total,100,42.2,5.7,82.8
Sangrur,Urban,100,34.4,4.7,92
Barnala,Rural,100,49.7,6.5,80.2
Barnala,Total,100,46.8,6.3,83.5
Barnala,Urban,100,41,5.9,90.2
Chandigarh,Rural,100,46.9,2.8,88
Chandigarh,Total,100,27.2,3.5,87.6
Chandigarh,Urban,100,26.6,3.5,87.6
Uttarkashi,Rural,100,27,3,39.5
Uttarkashi,Total,100,26.1,2.9,43.7
Uttarkashi,Urban,100,15.9,0.8,91.5
Chamoli,Rural,100,26.3,2.5,47
Chamoli,Total,100,24.1,2.3,53.1
Chamoli,Urban,100,11.6,0.9,87.5
Rudraprayag,Rural,100,19.8,1.9,51
Rudraprayag,Total,100,19.4,1.8,52.9
Rudraprayag,Urban,100,9.7,0.3,91.6
Tehri Garhwal,Rural,100,27.6,2.8,50.1
Tehri Garhwal,Total,100,25.5,2.5,55.8
Tehri Garhwal,Urban,100,10.6,0.7,95.9
Dehradun,Rural,100,26.7,3.9,74.6
Dehradun,Total,100,23.1,3,86.4
Dehradun,Urban,100,20.4,2.4,95.2
Garhwal,Rural,100,25.1,1.8,48.3
Garhwal,Total,100,23.4,1.7,55.3
Garhwal,Urban,100,14.4,1.1,94.7
Pithoragarh,Rural,100,25.4,2.3,48
Pithoragarh,Total,100,23.1,2.1,55.2
Pithoragarh,Urban,100,9.9,0.5,96.5
Bageshwar,Rural,100,25.1,2.9,53.5
Bageshwar,Total,100,24.6,2.9,54.8
Bageshwar,Urban,100,9.1,0.9,90
Almora,Rural,100,24.1,1.7,51.6
Almora,Total,100,23.2,1.7,55.3
Almora,Urban,100,14.5,1.3,91.9
Champawat,Rural,100,40.3,6,40.4
Champawat,Total,100,38.5,6,46.4
Champawat,Urban,100,28.1,5.9,79.9
Nainital,Rural,100,31.7,5.1,69.4
Nainital,Total,100,27,4.3,79.5
Nainital,Urban,100,19.8,3,94.8
Udham Singh Nagar,Rural,100,45.9,6.7,56.9
Udham Singh Nagar,Total,100,42.6,5.8,69.3
Udham Singh Nagar,Urban,100,36.4,4,92
Hardwar,Rural,100,48.3,5.3,50.2
Hardwar,Total,100,39.4,4.1,66.6
Hardwar,Urban,100,25.3,2.2,92.6
Panchkula,Rural,100,35.2,4.9,44
Panchkula,Total,100,27.5,4.8,70.7
Panchkula,Urban,100,22.7,4.7,87.6
Ambala,Rural,100,44.2,4.3,51.1
Ambala,Total,100,37,3.9,68.7
Ambala,Urban,100,28.4,3.3,89.3
Yamunanagar,Rural,100,47.1,6.4,46
Yamunanagar,Total,100,41.6,5.4,65.2
Yamunanagar,Urban,100,33.9,4,91.9
Kurukshetra,Rural,100,46,4.3,69.1
Kurukshetra,Total,100,41.1,4,76
Kurukshetra,Urban,100,29.6,3.5,92.4
Kaithal,Rural,100,48.5,4.8,57.7
Kaithal,Total,100,45.8,4.6,63.4
Kaithal,Urban,100,36.9,4.1,82.7
Karnal,Rural,100,47.5,4.9,68.6
Karnal,Total,100,41.7,4.2,75.9
Karnal,Urban,100,29.3,2.6,91.6
Panipat,Rural,100,47.6,4.2,66.7
Panipat,Total,100,43.5,3.5,80.2
Panipat,Urban,100,39,2.9,94.9
Sonipat,Rural,100,50.2,4.7,56.2
Sonipat,Total,100,45.4,4.3,68.1
Sonipat,Urban,100,35.6,3.4,92.2
Jind,Rural,100,51.1,5,51.3
Jind,Total,100,47,4.4,59.9
Jind,Urban,100,33.9,2.8,87.6
Fatehabad,Rural,100,46.4,5.7,72.9
Fatehabad,Total,100,43.9,5.5,76.4
Fatehabad,Urban,100,33.8,4.9,90.9
Sirsa,Rural,100,41.7,5.9,87.5
Sirsa,Total,100,39.5,5.4,89.7
Sirsa,Urban,100,33,4.1,95.9
Hisar,Rural,100,46.5,5.5,62.5
Hisar,Total,100,41.9,4.8,71.1
Hisar,Urban,100,32.2,3.3,89.5
Bhiwani,Rural,100,45.9,5.3,49.2
Bhiwani,Total,100,45,5.1,56.9
Bhiwani,Urban,100,41.6,4.4,86.8
Rohtak,Rural,100,49.3,4.7,58.4
Rohtak,Total,100,42.4,3.9,72.9
Rohtak,Urban,100,33.3,2.7,92.1
Jhajjar,Rural,100,45.1,4.9,58.5
Jhajjar,Total,100,44,4.8,67.4
Jhajjar,Urban,100,40.9,4.5,91.7
Mahendragarh,Rural,100,42.1,3.1,39
Mahendragarh,Total,100,41.4,3,44.3
Mahendragarh,Urban,100,37.2,2.8,77.2
Rewari,Rural,100,41.7,3.3,49.8
Rewari,Total,100,39,3.1,59.4
Rewari,Urban,100,31,2.4,87.8
Gurgaon,Rural,100,39.3,3.2,65.6
Gurgaon,Total,100,30.7,3.7,84.6
Gurgaon,Urban,100,27.4,3.9,91.7
Mewat,Rural,100,58.4,9,17.8
Mewat,Total,100,56.3,8.5,23.4
Mewat,Urban,100,41.2,4.8,62.5
Faridabad,Rural,100,43.2,4.3,58.6
Faridabad,Total,100,39.8,2.8,84
Faridabad,Urban,100,39.1,2.4,89.2
Palwal,Rural,100,51.1,6.3,32.1
Palwal,Total,100,47.5,5.6,44.4
Palwal,Urban,100,36.2,3.6,82.8
North West,Rural,100,46.6,4.5,64.1
North West,Total,100,35,3.4,84.7
North West,Urban,100,34.4,3.3,85.9
North,Rural,100,25.3,0.9,98
North,Total,100,36.9,3.4,90
North,Urban,100,37.1,3.5,89.9
North East,Rural,100,36.4,2.8,95
North East,Total,100,35.6,2,95.1
North East,Urban,100,35.6,2,95.1
East,Rural,100,6.7,1.2,98.1
East,Total,100,24.1,1.9,93.4
East,Urban,100,24.2,1.9,93.4
New Delhi,Total,100,28.8,3.7,77.9
New Delhi,Urban,100,28.8,3.7,77.9
Central,Total,100,39.3,3.2,90.8
Central,Urban,100,39.3,3.2,90.8
West,Rural,100,48.3,1.8,87.1
West,Total,100,28.9,2.8,89.9
West,Urban,100,28.8,2.8,89.9
South West,Rural,100,35.5,3.3,87.7
South West,Total,100,28.1,2.6,91
South West,Urban,100,27.7,2.6,91.2
South,Rural,100,41.3,4.6,90.6
South,Total,100,30.4,2.9,88
South,Urban,100,30.3,2.9,88
Ganganagar,Rural,100,42.1,2.5,81.3
Ganganagar,Total,100,39.3,2.7,84.7
Ganganagar,Urban,100,32.2,3.3,93.6
Hanumangarh,Rural,100,36.8,2.4,82.3
Hanumangarh,Total,100,35.9,2.5,84.6
Hanumangarh,Urban,100,32.2,3.1,93.9
Bikaner,Rural,100,50.6,4.9,29.5
Bikaner,Total,100,42.3,3.8,51.9
Bikaner,Urban,100,27.3,1.7,92.6
Churu,Rural,100,39.2,5.8,47
Churu,Total,100,36.8,4.9,57.8
Churu,Urban,100,30.4,2.2,87.5
Jhunjhunun,Rural,100,24.4,2.4,45.7
Jhunjhunun,Total,100,24.6,2.3,53.6
Jhunjhunun,Urban,100,25.4,1.8,82.5
Alwar,Rural,100,39.5,3.6,14.8
Alwar,Total,100,37.4,3.2,27.5
Alwar,Urban,100,28.8,1.6,79.3
Bharatpur,Rural,100,54.5,4.7,7.8
Bharatpur,Total,100,52,4.2,20.3
Bharatpur,Urban,100,42,2.4,69.5
Dhaulpur,Rural,100,58.4,6.6,4.8
Dhaulpur,Total,100,54.6,5.9,16.4
Dhaulpur,Urban,100,39.8,3.5,62.8
Karauli,Rural,100,62.4,5.6,8.2
Karauli,Total,100,59.4,5.3,15.9
Karauli,Urban,100,41.5,3.1,62.4
Sawai Madhopur,Rural,100,55.2,4.4,8.8
Sawai Madhopur,Total,100,51.4,4.1,20.7
Sawai Madhopur,Urban,100,34.8,2.6,72.2
Dausa,Rural,100,47.1,5.3,9.3
Dausa,Total,100,44.7,4.9,17.4
Dausa,Urban,100,26.8,1.4,77
Jaipur,Rural,100,42.6,4.2,22
Jaipur,Total,100,33.9,2.5,60.6
Jaipur,Urban,100,27.1,1.2,90.7
Sikar,Rural,100,31.4,2.8,40.2
Sikar,Total,100,30.4,2.5,50
Sikar,Urban,100,26.9,1.6,84.7
Nagaur,Rural,100,46.4,6.3,26.5
Nagaur,Total,100,43.9,5.6,35.8
Nagaur,Urban,100,32,2.4,80.6
Jodhpur,Rural,100,49.5,5.2,13.7
Jodhpur,Total,100,41.4,4,39.7
Jodhpur,Urban,100,25.8,1.7,90.1
Jaisalmer,Rural,100,56.1,3.2,16.7
Jaisalmer,Total,100,54,3,23.3
Jaisalmer,Urban,100,40.4,1.7,66.5
Barmer,Rural,100,59.4,5.3,9.7
Barmer,Total,100,57.2,5.1,14.9
Barmer,Urban,100,29,2.5,82.8
Jalor,Rural,100,52.1,8.4,11.3
Jalor,Total,100,50.8,8,15.5
Jalor,Urban,100,36.5,4,61.9
Sirohi,Rural,100,50.8,6.9,16.2
Sirohi,Total,100,45.9,5.9,26.8
Sirohi,Urban,100,26.8,1.9,68.2
Pali,Rural,100,50.1,5.4,18.7
Pali,Total,100,46.7,4.8,29
Pali,Urban,100,33.2,2.5,69.1
Ajmer,Rural,100,49.9,3.4,14.1
Ajmer,Total,100,41.3,2.5,42.3
Ajmer,Urban,100,27.9,1.1,86.2
Tonk,Rural,100,54.1,1.9,6.9
Tonk,Total,100,50.5,2,18.7
Tonk,Urban,100,36.3,2.5,65.7
Bundi,Rural,100,56.3,3.4,8.3
Bundi,Total,100,51.9,3.1,19.1
Bundi,Urban,100,33.6,2,64.2
Bhilwara,Rural,100,55.5,3.6,10.5
Bhilwara,Total,100,50.4,3.1,23.4
Bhilwara,Urban,100,30.1,1.3,74.7
Rajsamand,Rural,100,54.6,4.2,11.3
Rajsamand,Total,100,51.2,3.7,20
Rajsamand,Urban,100,30.9,1,71.4
Dungarpur,Rural,100,62.1,6.2,9.1
Dungarpur,Total,100,59.7,5.9,13.4
Dungarpur,Urban,100,25.6,2.1,74.1
Banswara,Rural,100,68.6,9.1,6.9
Banswara,Total,100,65.3,8.6,12.4
Banswara,Urban,100,23.5,2.3,82.5
Chittaurgarh,Rural,100,54.9,3.6,9.6
Chittaurgarh,Total,100,49.9,3.3,20.8
Chittaurgarh,Urban,100,26.8,1.8,72.5
Kota,Rural,100,46.3,2.8,12.3
Kota,Total,100,36,2.2,51.4
Kota,Urban,100,29.3,1.9,76.8
Baran,Rural,100,50.7,3.1,7.5
Baran,Total,100,47.5,2.9,17.6
Baran,Urban,100,34.9,2,57.3
Jhalawar,Rural,100,59.7,4.3,7.2
Jhalawar,Total,100,55,3.9,16.6
Jhalawar,Urban,100,30,2.1,66.9
Udaipur,Rural,100,60.1,3.8,9.3
Udaipur,Total,100,52.6,3.3,24.4
Udaipur,Urban,100,22,1.2,86.2
Pratapgarh,Rural,100,63.2,2.5,6.2
Pratapgarh,Total,100,60,2.4,11.4
Pratapgarh,Urban,100,24,1.4,70.1
Saharanpur,Rural,100,46.5,5.7,42.9
Saharanpur,Total,100,43.6,4.9,58.3
Saharanpur,Urban,100,37.3,3.1,92
Muzaffarnagar,Rural,100,50.2,4.6,54.9
Muzaffarnagar,Total,100,47.2,4.2,66
Muzaffarnagar,Urban,100,40,3.2,92.6
Bijnor,Rural,100,52.6,5.5,50.4
Bijnor,Total,100,50.2,5,60.5
Bijnor,Urban,100,42.7,3.2,92.4
Moradabad,Rural,100,63.5,6,47.8
Moradabad,Total,100,57.7,5.1,63.2
