"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Anantnag","Rural",100,5910968268.789119,55013.291999999994,547975.536,5911571257.617119,0.0,5910968268.789119,55013.291999999994,547975.536,0.0,0.0,0.0
"Anantnag","Total",100,6585842598.690241,50698.524,610539.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anantnag","Urban",100,8785002053.0232,33439.452,814412.46,0.0,8785849904.935198,0.0,0.0,0.0,8785002053.0232,33439.452,814412.46
"Kulgam","Rural",100,751374858.0951301,19950.701,177009.41100000002,751571818.2071301,0.0,751374858.0951301,19950.701,177009.41100000002,0.0,0.0,0.0
"Kulgam","Total",100,809034319.62761,19526.218,190592.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kulgam","Urban",100,1054087031.14065,17828.286,248322.555,0.0,1054353181.98165,0.0,0.0,0.0,1054087031.14065,17828.286,248322.555
"Doda","Rural",100,60.0,1.6,24.0,85.6,0.0,60.0,1.6,24.0,0.0,0.0,0.0
"Doda","Total",100,57.2,1.7,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Doda","Urban",100,23.7,2.9,93.4,0.0,120.00000000000001,0.0,0.0,0.0,23.7,2.9,93.4
"Ramban","Rural",100,143277658.13682002,5957.973,50500.914000000004,143334117.02382,0.0,143277658.13682002,5957.973,50500.914000000004,0.0,0.0,0.0
"Ramban","Total",100,161791063.40169,5957.973,57026.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ramban","Urban",100,665677658.8716301,6809.112,234630.651,0.0,665919098.6346301,0.0,0.0,0.0,665677658.8716301,6809.112,234630.651
"Kishtwar","Rural",100,52.0,3.4,20.0,75.4,0.0,52.0,3.4,20.0,0.0,0.0,0.0
"Kishtwar","Total",100,49.8,3.3,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kishtwar","Urban",100,13.5,0.7,93.4,0.0,107.60000000000001,0.0,0.0,0.0,13.5,0.7,93.4
"Udhampur","Rural",100,227926179.16650003,11099.7,41068.89000000001,227978347.7565,0.0,227926179.16650003,11099.7,41068.89000000001,0.0,0.0,0.0
"Udhampur","Total",100,594456115.93425,11099.7,107112.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Udhampur","Urban",100,2313142710.1897497,9989.730000000001,416793.7349999999,0.0,2313569493.65475,0.0,0.0,0.0,2313142710.1897497,9989.730000000001,416793.7349999999
"Reasi","Rural",100,54.9,1.5,9.0,65.4,0.0,54.9,1.5,9.0,0.0,0.0,0.0
"Reasi","Total",100,53.5,1.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reasi","Urban",100,39.5,1.1,78.8,0.0,119.39999999999999,0.0,0.0,0.0,39.5,1.1,78.8
"Jammu","Rural",100,5758297845.139441,74967.94200000001,376369.66800000006,5758749182.749441,0.0,5758297845.139441,74967.94200000001,376369.66800000006,0.0,0.0,0.0
"Jammu","Total",100,12593350571.890318,64258.236000000004,823117.4039999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jammu","Urban",100,19873149880.17636,52018.572,1298934.3420000002,0.0,19874500833.09036,0.0,0.0,0.0,19873149880.17636,52018.572,1298934.3420000002
"Samba","Rural",100,264409429.45039997,10523.634,82913.48,264502866.56439996,0.0,264409429.45039997,10523.634,82913.48,0.0,0.0,0.0
"Samba","Total",100,334579624.1891599,9566.94,104917.44199999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Samba","Urban",100,718990256.2362801,3507.878,225460.88600000003,0.0,719219225.0002801,0.0,0.0,0.0,718990256.2362801,3507.878,225460.88600000003
"Chamba","Rural",100,1314886946.432,11938.84,253311.04,1315152196.3119998,0.0,1314886946.432,11938.84,253311.04,0.0,0.0,0.0
"Chamba","Total",100,1387636838.96,11419.760000000002,267326.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chamba","Urban",100,2344163203.68,3633.5599999999995,451599.6,0.0,2344618436.8399997,0.0,0.0,0.0,2344163203.68,3633.5599999999995,451599.6
"Kangra","Rural",100,14685302696.225,21141.05,972488.3,14686296325.574999,0.0,14685302696.225,21141.05,972488.3,0.0,0.0,0.0
"Kangra","Total",100,14936138611.843748,21141.05,989099.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kangra","Urban",100,18767087141.293747,24161.2,1242791.7249999999,0.0,18768354094.218746,0.0,0.0,0.0,18767087141.293747,24161.2,1242791.7249999999
"Lahul and Spiti","Rural",100,33.7,0.8,78.1,112.6,0.0,33.7,0.8,78.1,0.0,0.0,0.0
"Lahul and Spiti","Total",100,33.7,0.8,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kullu","Rural",100,1039333982.75678,5254.836,237343.426,1039576581.01878,0.0,1039333982.75678,5254.836,237343.426,0.0,0.0,0.0
"Kullu","Total",100,1119872778.4685597,5254.836,255735.35199999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kullu","Urban",100,1737336878.9255397,5692.7390000000005,396740.11799999996,0.0,1737739311.7825398,0.0,0.0,0.0,1737336878.9255397,5692.7390000000005,396740.11799999996
