"Unnamed: 0","State_UT","District","Population","Male","Female","Literate","Literate_Male","Literate_Female","Rural_Households","Urban_Households","Households","Young_and_Adult","Middle_Aged","Senior_Citizen","Age_Not_Stated"
76,"HARYANA","Jind","1334152","713006",621146,"832758",502049,330709,278335,"89665",368000,784085,335704,"213478",885
78,"HARYANA","Sirsa","1295189","682582",612607,"782897",456968,325929,245476,"93316",338792,750228,334344,"208185",2432
80,"HARYANA","Bhiwani","1634445","866672",767773,"1069871",643158,426713,357047,"99235",456282,964960,405760,"261428",2297
82,"HARYANA","Jhajjar","958405","514667",443738,"676091",399480,276611,211816,"78328",290144,549975,245095,"162356",979
86,"HARYANA","Mewat","1089263","571162",518101,"454897",308435,146462,187398,"36237",223635,790930,186916,"110688",729
87,"HARYANA","Faridabad","1809733","966110",843623,"1272739",734940,537799,87700,"382981",470681,1095602,481318,"231029",1784
90,"NCT OF DELHI","North","887978","475002",412976,"681517",381615,299902,4512,"296559",301071,506601,256501,"124513",363
92,"NCT OF DELHI","East","1709346","907500",801846,"1352998",748382,604616,1086,"461132",462218,948963,497157,"262124",1102
94,"NCT OF DELHI","Central","582320","307821",274499,"442360",240518,201842,0,"194897",194897,317650,169533,"94448",689
95,"NCT OF DELHI","West","2543243","1356240",1187003,"1961179",1093933,867246,1809,"699703",701512,1399165,732515,"408953",2610
96,"NCT OF DELHI","South West","2292958","1246046",1046912,"1787689",1025261,762428,41179,"606503",647682,1296955,683209,"308675",4119
97,"NCT OF DELHI","South","2731929","1467428",1264501,"2078402",1185036,893366,2918,"728145",731063,1588001,785085,"355602",3241
98,"RAJASTHAN","Ganganagar","1969168","1043340",925828,"1193343",710908,482435,397697,"164897",562594,1167889,502211,"1319074",15584
100,"RAJASTHAN","Bikaner","2363937","1240801",1123136,"1278801",782399,496402,335754,"196179",531933,1543867,517271,"288165",14634
101,"RAJASTHAN","Churu","2039547","1051446",988101,"1149269",696729,452540,344897,"148996",493893,1293193,458725,"272176",15453
102,"RAJASTHAN","Jhunjhunun","2137045","1095896",1041149,"1370360",815834,554526,500452,"150357",650809,1298780,494124,"330126",14015
105,"RAJASTHAN","Dhaulpur","1206516","653647",552869,"683098",435721,247377,214670,"58626",273296,815651,248416,"141365",1084
106,"RAJASTHAN","Karauli","1458248","783639",674609,"805849",531904,273945,305047,"59308",364355,947173,310688,"192042",8345
107,"RAJASTHAN","Sawai Madhopur","1335551","704031",631520,"741748",486184,255564,282057,"71264",353321,841697,309237,"804474",1383
108,"RAJASTHAN","Dausa","1634409","857787",776622,"938051",596935,341116,361084,"59610",420694,1047136,358718,"210117",18438
110,"RAJASTHAN","Sikar","2677333","1374990",1302343,"1652117",995275,656842,527560,"178274",705834,1672813,605002,"381226",18292
112,"RAJASTHAN","Jodhpur","3687165","1923928",1763237,"2031532",1265753,765779,584215,"307442",891657,2359786,836322,"489280",1777
113,"RAJASTHAN","Jaisalmer","669919","361708",308211,"308653",210415,98238,159117,"30830",189947,448969,140294,"79977",679
114,"RAJASTHAN","Barmer","2603751","1369022",1234729,"1188322",783461,404861,542825,"55980",598805,1731122,527629,"326476",18524
115,"RAJASTHAN","Jalor","1828730","936634",892096,"829582",543923,285659,419216,"48202",467418,1176496,390598,"249379",12257
117,"RAJASTHAN","Pali","2037573","1025422",1012151,"1085693",667381,418312,512909,"139808",652717,1207983,467436,"343384",18770
118,"RAJASTHAN","Ajmer","2583052","1324085",1258967,"1526673",926268,600405,409335,"274919",684254,1561077,629951,"388040",3984
120,"RAJASTHAN","Bundi","1110906","577160",533746,"585044",371705,213339,239836,"63452",303288,686771,267648,"155958",529
121,"RAJASTHAN","Bhilwara","2408523","1220736",1187787,"1256126",777582,478544,530015,"145865",675880,1439454,589476,"365023",14570
122,"RAJASTHAN","Rajsamand","1156597","581339",575258,"619139",383334,235805,304622,"61054",365676,687165,275099,"193668",665
123,"RAJASTHAN","Dungarpur","1388552","696532",692020,"681591",415820,265771,322816,"31547",354363,868458,317700,"191917",10477
124,"RAJASTHAN","Banswara","1797485","907754",889731,"829343",513854,315489,390437,"39407",429844,1153029,406214,"216554",21688
127,"RAJASTHAN","Baran","1222755","633945",588810,"693307",432607,260700,249184,"69804",318988,762204,286344,"173100",1107
129,"RAJASTHAN","Udaipur","3068420","1566801",1501619,"1582629",973444,609185,665449,"182769",848218,1876436,739287,"451034",1663
132,"UTTAR PRADESH","Muzaffarnagar","4143512","2193434",1950078,"2417339",1448528,968811,673746,"296104",969850,2671757,911621,"544283",15851
133,"UTTAR PRADESH","Bijnor","3682713","1921215",1761498,"2135393",1241471,893922,683875,"224648",908523,2404576,786305,"450186",41646
135,"UTTAR PRADESH","Rampur","2335819","1223889",1111930,"1043666",630408,413258,396775,"143217",539992,1576123,491164,"258913",9619
136,"UTTAR PRADESH","Jyotiba Phule Nagar","1840221","963449",876772,"983110",600541,382569,335888,"115486",451374,1227283,391275,"215849",5814
137,"UTTAR PRADESH","Meerut","3443689","1825743",1617946,"2141488",1254520,886968,381520,"422303",803823,2165117,780475,"451827",46270
139,"UTTAR PRADESH","Ghaziabad","4681645","2488834",2192811,"3123264",1811397,1311867,355407,"836316",1191723,2891069,1139871,"559963",90742
140,"UTTAR PRADESH","Gautam Buddha Nagar","1648115","890214",757901,"1122947",666065,456882,170835,"338935",509770,1015648,402967,"188862",40638
141,"UTTAR PRADESH","Bulandshahr","3499171","1845260",1653911,"2031656",1253314,778342,658449,"221628",880077,2246254,753949,"472808",26160
142,"UTTAR PRADESH","Aligarh","3673889","1951996",1721893,"2092567",1283380,809187,582117,"275942",858059,2378289,787408,"472667",35525
143,"UTTAR PRADESH","Mahamaya Nagar","1564708","836127",728581,"942572",579157,363415,288150,"84883",373033,1011157,339137,"210083",4331
145,"UTTAR PRADESH","Agra","4418797","2364953",2053844,"2680510",1614594,1065916,496971,"406852",903823,2871903,991255,"547873",7766
146,"UTTAR PRADESH","Firozabad","2498156","1332046",1166110,"1521806",912314,609492,349747,"185621",535368,1621154,543730,"312689",20583
147,"UTTAR PRADESH","Mainpuri","1868529","993377",875152,"1203885",712110,491775,338475,"72783",411258,1193660,402321,"265638",6910
148,"UTTAR PRADESH","Budaun","3681896","1967759",1714137,"1547477",986501,560976,710956,"156668",867624,2436051,748408,"424194",73243
149,"UTTAR PRADESH","Bareilly","4448359","2357665",2090694,"2191759",1342697,849062,631613,"362798",994411,2893965,952233,"514141",88020
153,"UTTAR PRADESH","Sitapur","4483992","2375264",2108728,"2283733",1397702,886031,827583,"111319",938902,2862383,1000987,"588318",32304
154,"UTTAR PRADESH","Hardoi","4092845","2191442",1901403,"2221601",1374587,847014,786613,"121064",907677,2598364,905306,"559988",29187
156,"UTTAR PRADESH","Lucknow","4589838","2394476",2195362,"3127260",1742440,1384820,344155,"717566",1061721,2678289,1161686,"685258",64605
157,"UTTAR PRADESH","Rae Bareli","3405559","1752542",1653017,"1965843",1165965,799878,705025,"73393",778418,2116007,776583,"506583",6386
158,"UTTAR PRADESH","Farrukhabad","1885204","1006240",878964,"1092677",654827,437850,316647,"94843",411490,1224584,411153,"246795",2672
159,"UTTAR PRADESH","Kannauj","1656616","881776",774840,"1017087",603596,413491,299785,"65985",365770,1069916,361028,"223535",2137
160,"UTTAR PRADESH","Etawah","1581810","845856",735954,"1062003",623583,438420,265643,"85483",351126,979633,362026,"237786",2365
161,"UTTAR PRADESH","Auraiya","1379545","740040",639505,"930836",546198,384638,255836,"58438",314274,856336,320763,"202054",392
162,"UTTAR PRADESH","Kanpur Dehat","1796184","963255",832929,"1170243",692964,477279,363933,"41323",405256,1100820,415918,"276272",3174
163,"UTTAR PRADESH","Kanpur Nagar","4581268","2459806",2121462,"3243022",1829179,1413843,364869,"684906",1049775,2630411,1209554,"731795",9508
166,"UTTAR PRADESH","Lalitpur","1221592","641011",580581,"641191",397586,243605,258013,"43819",301832,793551,265080,"159666",3295
168,"UTTAR PRADESH","Mahoba","875958","466358",409600,"488106",302283,185823,198298,"48525",246823,527067,201394,"137393",10104
169,"UTTAR PRADESH","Banda","1799410","965876",833534,"1002937",630626,372311,378056,"67569",445625,1120432,408527,"265310",5141
171,"UTTAR PRADESH","Fatehpur","2632733","1384722",1248011,"1512166",911003,601163,558807,"77733",636540,1624830,603831,"395547",8525
