"Unnamed: 0","State_UT","District","Population","Male","Female","Literate","Literate_Male","Literate_Female","Rural_Households","Urban_Households","Households","Young_and_Adult","Middle_Aged","Senior_Citizen","Age_Not_Stated"
339,"WEST BENGAL","Puruliya","2930115","1496996",1433119,"1624905",1002058,622847,653219,"99433",752652,1678057,764776,"484166",3116
341,"WEST BENGAL","Kolkata","4496694","2356766",2139928,"3588137",1926915,1661222,0,"1308106",1308106,2025389,1433314,"1014769",23222
342,"WEST BENGAL","South Twenty Four Parganas","8161961","4173778",3988183,"5531657",3043277,2488380,1568802,"611430",2180232,4763943,2151474,"1235558",10986
343,"WEST BENGAL","Paschim Medinipur","5913457","3007885",2905572,"4078412",2266913,1811499,1364335,"201048",1565383,3243971,1664250,"990179",15057
344,"WEST BENGAL","Purba Medinipur","5095875","2629834",2466041,"3923194",2149073,1774121,1193006,"170707",1363713,2866678,1384242,"3616369",2930
345,"JHARKHand","Garhwa","1322784","683575",639209,"653476",405161,248315,272872,"19180",292052,860869,284036,"177599",280
346,"JHARKHand","Chatra","1042886","533935",508951,"510061",303902,206159,200974,"14528",215502,692650,222892,"126682",662
347,"JHARKHand","Kodarma","716259","367222",349037,"390249",238780,151469,116714,"34771",151485,462098,158603,"95309",249
348,"JHARKHand","Giridih","2445474","1258098",1187376,"1253475",783736,469739,452564,"46886",499450,1597269,533788,"312967",1450
350,"JHARKHand","Godda","1313551","677927",635624,"604519",376212,228307,276454,"15576",292030,820367,308639,"183519",1026
351,"JHARKHand","Sahibganj","1150567","589391",561176,"483263",287303,195960,223450,"37543",260993,745027,261849,"137727",5964
352,"JHARKHand","Pakur","900422","452661",447761,"352881",206989,145892,200588,"16587",217175,587976,206826,"104418",1202
354,"JHARKHand","Bokaro","2062330","1072807",989523,"1273520",759088,514432,250312,"258452",508764,1261238,510375,"282115",8602
356,"JHARKHand","Purbi Singhbhum","2293919","1176902",1117017,"1507699",856526,651173,262537,"342126",604663,1292595,632314,"368148",862
358,"JHARKHand","Latehar","726978","369666",357312,"350682",209706,140976,146377,"14137",160514,484084,152720,"89870",304
361,"JHARKHand","Dumka","1321442","668514",652928,"672409",406275,266134,303697,"23281",326978,799323,324226,"196164",1729
365,"JHARKHand","Gumla","1025213","514390",510823,"559720",321795,237925,216629,"16445",233074,643579,225871,"155452",311
366,"JHARKHand","Simdega","599578","300309",299269,"343483",191991,151492,144169,"11114",155283,357859,143560,"97817",342
367,"JHARKHand","Pashchimi Singhbhum","1502338","749385",752953,"727561",439273,288288,336928,"63396",400324,960987,353305,"187635",411
369,"ORISSA","Bargarh","1481255","749161",732094,"983783",557217,426566,411566,"47395",458961,787033,410005,"282422",1795
370,"ORISSA","Jharsuguda","579505","296690",282815,"405879",228092,177787,103224,"73962",177186,320156,159477,"98555",1317
372,"ORISSA","Debagarh","312520","158230",154290,"197819",112649,85170,91408,"7350",98758,176062,81789,"53989",680
373,"ORISSA","Sundargarh","2093437","1061147",1032290,"1342322",750147,592175,387911,"230151",618062,1188918,573238,"324436",6845
375,"ORISSA","Mayurbhanj","2519738","1256213",1263525,"1369397",794171,575226,689110,"64479",753589,1449729,650135,"414076",5798
376,"ORISSA","Baleshwar","2320529","1185787",1134742,"1621232",902359,718873,601154,"82440",683594,1303828,622575,"390611",3515
378,"ORISSA","Kendrapara","1440361","717814",722547,"1089265",579970,509295,414749,"23494",438243,771284,374559,"290894",3624
381,"ORISSA","Jajapur","1827192","926034",901158,"1290455",706396,584059,495611,"45528",541139,1010147,479392,"332706",4947
383,"ORISSA","Anugul","1273821","655718",618103,"869456",494425,375031,340410,"74177",414587,708493,347521,"213517",4290
385,"ORISSA","Khordha","2251673","1167137",1084536,"1749936",957515,792421,331834,"356895",688729,1199521,653346,"391701",7105
386,"ORISSA","Puri","1698730","865380",833350,"1291939",704857,587082,402014,"72210",474224,888134,477430,"328666",4500
387,"ORISSA","Ganjam","3529031","1779218",1749813,"2210050",1262652,947398,795476,"219918",1015394,1980232,924756,"613249",10794
388,"ORISSA","Gajapati","577817","282882",294935,"262537",153663,108874,152095,"23050",175145,345387,144043,"85072",3315
389,"ORISSA","Kandhamal","733110","359945",373165,"399786",233900,165886,218446,"24489",242935,436625,177471,"117777",1237
390,"ORISSA","Baudh","441162","221625",219537,"271612",158648,112964,131377,"6577",137954,253467,111571,"75046",1078
391,"ORISSA","Subarnapur","610183","311312",298871,"398421",230393,168028,176927,"16575",193502,341561,153760,"113450",1412
392,"ORISSA","Balangir","1648997","830097",818900,"927260",545672,381588,476770,"62192",538962,904026,430011,"310876",4084
393,"ORISSA","Nuapada","610382","301962",308420,"299383",180903,118480,197258,"11869",209127,344075,152681,"112325",1301
394,"ORISSA","Kalahandi","1576869","787101",789768,"802036",484177,317859,456336,"38412",494748,880160,415778,"275533",5398
395,"ORISSA","Rayagada","967911","471960",495951,"407735",241959,165776,237343,"49205",286548,577569,245766,"140825",3751
396,"ORISSA","Nabarangapur","1220946","604812",616134,"470379",286984,183395,342840,"29424",372264,745206,297552,"171761",6427
397,"ORISSA","Koraput","1379647","678809",700838,"568090",340843,227247,381789,"78339",460128,818578,348803,"207206",5060
398,"ORISSA","Malkangiri","613192","303624",309568,"244706",147001,97705,167884,"15839",183723,381913,146355,"83284",1640
399,"CHHATTISGARH","Koriya","658917","334737",324180,"397823",229923,167900,121852,"59763",181615,399581,165022,"94073",241
404,"CHHATTISGARH","Janjgir - Champa","1619707","815717",803990,"1019634",593679,425955,379583,"61190",440773,975114,383172,"260898",523
406,"CHHATTISGARH","Kabeerdham","822526","412058",410468,"414167",248503,165664,187311,"23868",211179,515971,198517,"107854",184
407,"CHHATTISGARH","Rajnandgaon","1537133","762855",774278,"1008379",561355,447024,313604,"76528",390132,898915,404418,"233068",732
412,"CHHATTISGARH","Uttar Bastar Kanker","748941","373338",375603,"456042",258298,197744,169191,"24878",194069,437598,197603,"113450",290
413,"CHHATTISGARH","Bastar","1413199","698487",714712,"650863",382335,268528,316425,"54894",371319,864272,358157,"189569",1201
414,"CHHATTISGARH","Narayanpur","139820","70104",69716,"56621",33449,23172,26916,"6179",33095,91338,33956,"14367",159
415,"CHHATTISGARH","Dakshin Bastar Dantewada","533638","264142",269496,"191237",116529,74708,106545,"31304",137849,334987,140188,"58170",293
416,"CHHATTISGARH","Bijapur","255230","128663",126567,"86919",54076,32843,50449,"7942",58391,167348,63802,"23927",153
417,"MADHYA PRADESH","Sheopur","687861","361784",326077,"328025",208201,119824,150146,"26376",176522,449974,155063,"82416",408
418,"MADHYA PRADESH","Morena","1965970","1068417",897553,"1179685",747652,432033,319298,"95288",414586,1254302,452484,"257704",1480
419,"MADHYA PRADESH","Bhind","1703005","926843",776162,"1094917",676513,418404,271211,"88385",359596,1040736,399676,"1065950",4005
420,"MADHYA PRADESH","Gwalior","2032036","1090327",941709,"1357210",803114,554096,172720,"272172",444892,1218319,519728,"291451",2538
421,"MADHYA PRADESH","Datia","786754","420157",366597,"491445",303815,187630,160453,"43401",203854,473097,195131,"118186",340
422,"MADHYA PRADESH","Shivpuri","1726050","919795",806255,"900846",573242,327604,367859,"66759",434618,1106084,389652,"227989",2325
424,"MADHYA PRADESH","Chhatarpur","1762375","936121",826254,"943033",572010,371023,375869,"95048",470917,1112636,394060,"252417",3262
425,"MADHYA PRADESH","Panna","1016520","533480",483040,"552559",332140,220419,256744,"32179",288923,635347,235035,"144827",1311
427,"MADHYA PRADESH","Damoh","1264219","661873",602346,"747715",445737,301978,303387,"66514",369901,768929,312593,"181403",1294
428,"MADHYA PRADESH","Satna","2228935","1157495",1071440,"1371781",801051,570730,461831,"114173",576004,1365647,535086,"326049",2153
430,"MADHYA PRADESH","Umaria","644758","330674",314084,"356672",210907,145765,138100,"29966",168066,403030,158140,"82984",604
431,"MADHYA PRADESH","Neemuch","826067","422653",403414,"508834",307889,200945,174235,"67962",242197,476995,217403,"131227",442
432,"MADHYA PRADESH","Mandsaur","1340411","682851",657560,"834591",502898,331693,302287,"81832",384119,781000,346861,"211815",735
433,"MADHYA PRADESH","Ratlam","1455069","738241",716828,"825880",485090,340790,266716,"107151",373867,876905,363858,"213560",746
434,"MADHYA PRADESH","Ujjain","1986864","1016289",970575,"1240990",730817,510173,300765,"188684",489449,1156749,508302,"320502",1311
435,"MADHYA PRADESH","Shajapur","1512681","780520",732161,"894612",543509,351103,312611,"73997",386608,901161,369741,"240768",1011
436,"MADHYA PRADESH","Dewas","1563715","805359",758356,"925369",550716,374653,274995,"101014",376009,943954,388648,"230280",833
437,"MADHYA PRADESH","Dhar","2185793","1112725",1073068,"1077338",638479,438859,412348,"103364",515712,1377326,533243,"273050",2174
439,"MADHYA PRADESH","Khargone (West Nimar)","1873046","953121",919925,"986234",575428,410806,383543,"76620",460163,1166866,450248,"254570",1362
440,"MADHYA PRADESH","Barwani","1385881","699340",686541,"549926",313642,236284,250358,"48912",299270,923665,302833,"158594",789
441,"MADHYA PRADESH","Rajgarh","1545814","790212",755602,"804245",488797,315448,331894,"69823",401717,935230,363218,"246447",919
442,"MADHYA PRADESH","Vidisha","1458875","769568",689307,"862918",512344,350574,292579,"83830",376409,919239,335690,"203005",941
444,"MADHYA PRADESH","Sehore","1311332","683743",627589,"780362",469208,311154,270427,"59220",329647,817608,305605,"187611",508
446,"MADHYA PRADESH","Betul","1575362","799236",776126,"939769",529783,409986,318945,"87704",406649,938819,392728,"242592",1223
447,"MADHYA PRADESH","Harda","570465","294838",275627,"352550",203807,148743,112714,"31845",144559,347774,138882,"83417",392
448,"MADHYA PRADESH","Hoshangabad","1241350","648725",592625,"810644",469199,341445,209650,"105746",315396,730768,318232,"191501",849
450,"MADHYA PRADESH","Jabalpur","2463289","1277278",1186011,"1756468",980307,776161,272284,"352477",624761,1387369,679185,"391903",4832
452,"MADHYA PRADESH","Dindori","704524","351913",352611,"378714",222759,155955,218021,"9774",227795,419531,181841,"102522",630
453,"MADHYA PRADESH","Mandla","1054905","525272",529633,"604962",348033,256929,279674,"37258",316932,614794,278553,"160510",1048
454,"MADHYA PRADESH","Chhindwara","2090922","1064468",1026454,"1294198",731294,562904,413142,"140802",553944,1232263,535316,"321977",1366
457,"MADHYA PRADESH","Guna","1241519","649362",592157,"653980",400537,253443,212765,"72320",285085,793150,285176,"162104",1089
462,"MADHYA PRADESH","Singrauli","1178273","613637",564636,"585054",359923,225131,228732,"58593",287325,771725,267189,"138276",1083
463,"MADHYA PRADESH","Jhabua","1025048","515023",510025,"352081",214582,137499,211080,"24713",235793,684200,220769,"119681",398
464,"MADHYA PRADESH","Alirajpur","728999","362542",366457,"209754",120905,88849,135866,"14662",150528,488848,155328,"84149",674
465,"MADHYA PRADESH","Khandwa (East Nimar)","1310061","674329",635732,"731615",432259,299356,265663,"63425",329088,809091,313456,"186928",586
466,"MADHYA PRADESH","Burhanpur","757847","388504",369343,"408679",233073,175606,115979,"62861",178840,469838,181605,"106034",370
468,"GUJARAT","Banas Kantha","3120506","1610379",1510127,"1704923",1048402,656521,666773,"137424",804197,1984701,738412,"394793",2600
469,"GUJARAT","Patan","1343734","694397",649337,"837913",494631,343282,301483,"102655",404138,786357,341381,"213465",2531
472,"GUJARAT","Gandhinagar","1391753","723864",667889,"1030494",582686,447808,237624,"195634",433258,769329,391862,"224886",5676
473,"GUJARAT","Ahmadabad","7214225","3788051",3426174,"5435760",3025463,2410297,353169,"1845383",2198552,3952858,2043895,"1198152",19320
474,"GUJARAT","Surendranagar","1756268","909917",846351,"1093626",643221,450405,340788,"159810",500598,1033435,439352,"280582",2899
475,"GUJARAT","Rajkot","3804558","1974445",1830113,"2725056",1514075,1210981,459474,"721532",1181006,2080568,1052871,"659576",11543
476,"GUJARAT","Jamnagar","2160119","1114192",1045927,"1396534",795140,601394,347158,"299167",646325,1220598,576319,"358455",4747
477,"GUJARAT","Porbandar","585449","300209",285240,"393678",221621,172057,96015,"87557",183572,314886,163777,"105638",1148
478,"GUJARAT","Junagadh","2743082","1404356",1338726,"1842818",1046981,795837,489237,"287506",776743,1527888,749156,"461650",4388
479,"GUJARAT","Amreli","1514190","771049",743141,"995459",558180,437279,313714,"116899",430613,836343,389892,"282409",5546
480,"GUJARAT","Bhavnagar","2880365","1490201",1390164,"1887255",1087371,799884,387251,"356826",744077,1708938,720241,"445121",6065
481,"GUJARAT","Anand","2092745","1087224",1005521,"1551253",874481,676772,413078,"208909",621987,1134962,585093,"366419",6271
482,"GUJARAT","Kheda","2299885","1185727",1114158,"1660243",942480,717763,461479,"160547",622026,1260660,628221,"388646",22358
484,"GUJARAT","Dohad","2127086","1068651",1058435,"1007171",599035,408136,323697,"52807",376504,1402616,467115,"252153",5202
485,"GUJARAT","Vadodara","4165626","2153736",2011890,"2893080",1614087,1278993,547454,"692971",1240425,2213474,1190041,"733710",28401
486,"GUJARAT","Narmada","590297","301086",289211,"370336",211767,158569,138121,"22248",160369,336830,157910,"93466",2091
488,"GUJARAT","The Dangs","228291","113821",114470,"140968",77314,63654,52102,"7516",59618,146095,51821,"30027",348
489,"GUJARAT","Navsari","1329672","678165",651507,"1001909",539471,462438,267739,"141417",409156,673014,390349,"258957",7352
491,"GUJARAT","Surat","6081322","3402224",2679098,"4571410",2687468,1883942,369840,"1529998",1899838,3563443,1740746,"723415",53718
492,"GUJARAT","Tapi","807022","402188",404834,"490036",269007,221029,192272,"26217",218489,422047,235019,"144575",5381
493,"DAMAN and DIU","Diu","52074","25642",26432,"38058",20327,17731,9788,"9062",18850,30475,13932,"7599",68
495,"DADRA and NAGAR HAVELI","Dadra AND Nagar Haveli","343709","193760",149949,"223230",142521,80709,48221,"60562",108783,225103,87888,"30346",372
496,"MAHARASHTRA","Nandurbar","1648295","833170",815125,"906509",512099,394410,333440,"71572",405012,1011352,390419,"241534",4990
497,"MAHARASHTRA","Dhule","2050862","1054031",996831,"1293916",723388,570528,382777,"146013",528790,1167569,513908,"350747",18638
498,"MAHARASHTRA","Jalgaon","4229917","2197365",2032552,"2891882",1629223,1262659,796223,"373565",1169788,2352671,1080237,"763529",33480
500,"MAHARASHTRA","Akola","1813906","932334",881572,"1411281",758977,652304,308158,"196077",504235,998769,483200,"327932",4005
504,"MAHARASHTRA","Nagpur","4653570","2384975",2268595,"3673808",1959220,1714588,430844,"877522",1308366,2460820,1361821,"818467",12462
505,"MAHARASHTRA","Bhandara","1200334","605520",594814,"899860",488709,411151,283843,"72575",356418,626978,333120,"232754",7482
506,"MAHARASHTRA","Gondiya","1322507","661554",660953,"1004243",542837,461406,319702,"66813",386515,704214,371908,"244111",2274
507,"MAHARASHTRA","Gadchiroli","1072942","541328",531614,"708365",395110,313255,293586,"37254",330840,605217,289448,"175518",2759
508,"MAHARASHTRA","Chandrapur","2204307","1123834",1080473,"1578615",872565,706050,451324,"233331",684655,1163802,629890,"403719",6896
511,"MAHARASHTRA","Hingoli","1177345","606294",571051,"790743",450551,340192,242456,"41913",284369,692117,281905,"201828",1495
512,"MAHARASHTRA","Parbhani","1836086","942870",893216,"1157814",666291,491523,293480,"133759",427239,1078349,436486,"313455",7796
516,"MAHARASHTRA","Thane","11060148","5865078",5195070,"8227161",4591396,3635765,713994,"2904157",3618151,6184519,3241888,"1579921",53820
518,"MAHARASHTRA","Mumbai","3085411","1684608",1400803,"2509022",1410680,1098342,1107321,"0",1107321,1553005,933586,"583243",15577
519,"MAHARASHTRA","Raigarh","2634200","1344345",1289855,"1939994",1059692,880302,581868,"377160",959028,1414154,748339,"462741",8966
520,"MAHARASHTRA","Pune","9429408","4924105",4505303,"7171723",3940210,3231513,1165718,"2056739",3222457,5184734,2624165,"1586132",34377
522,"MAHARASHTRA","Bid","2585049","1349106",1235943,"1718507",987185,731322,563114,"135457",698571,1473882,614615,"494436",2116
523,"MAHARASHTRA","Latur","2454196","1273140",1181056,"1650672",932432,718240,428616,"157016",585632,1406364,584243,"453229",10360
524,"MAHARASHTRA","Osmanabad","1657576","861535",796041,"1137810",644304,493506,367158,"77832",444990,917343,393539,"343021",3673
525,"MAHARASHTRA","Solapur","4317756","2227852",2089904,"2910676",1651266,1259410,779929,"376302",1156231,2402794,1089900,"809935",15127
527,"MAHARASHTRA","Ratnagiri","1615069","761121",853948,"1199392",619012,580380,538538,"100824",639362,777431,438905,"1278309",1766
528,"MAHARASHTRA","Sindhudurg","849651","417332",432319,"666067",348289,317778,295847,"44989",340836,382024,242296,"222963",2368
532,"andHRA PRADESH","Nizamabad","2551335","1250641",1300694,"1389810",790214,599596,565165,"155133",720298,1399773,676401,"437573",37588
533,"andHRA PRADESH","Karimnagar","3776269","1880800",1895469,"2206829",1257238,949591,877236,"288044",1165280,1940234,1031735,"728494",75806
534,"andHRA PRADESH","Medak","3033288","1523030",1510258,"1637137",953406,683731,593653,"195479",789132,1735769,779738,"509368",8413
535,"andHRA PRADESH","Hyderabad","3943323","2018575",1924748,"2892155",1542688,1349467,0,"1066289",1066289,2249130,1068243,"542669",83281
536,"andHRA PRADESH","Rangareddy","5296741","2701008",2595733,"3538028",1948784,1589244,432098,"1129224",1561322,2966988,1455864,"738037",135852
537,"andHRA PRADESH","Mahbubnagar","4053028","2050386",2002642,"1940646",1158386,782260,848963,"161052",1010015,2360874,1027525,"637430",27199
538,"andHRA PRADESH","Nalgonda","3488809","1759772",1729037,"2001019",1160757,840262,833504,"197433",1030937,1932349,897137,"651748",7575
539,"andHRA PRADESH","Warangal","3512576","1759281",1753295,"2065023",1179790,885233,758738,"288249",1046987,1891954,941452,"664872",14298
540,"andHRA PRADESH","Khammam","2797370","1390988",1406382,"1630234",901640,728594,669262,"201363",870625,1530602,774583,"477955",14230
541,"andHRA PRADESH","Srikakulam","2703114","1341738",1361376,"1495381",857824,637557,752752,"149684",902436,1423119,747385,"528736",3874
543,"andHRA PRADESH","Visakhapatnam","4290589","2138910",2151679,"2568249",1422878,1145371,718847,"660493",1379340,2274553,1245627,"716066",54343
544,"andHRA PRADESH","East Godavari","5154296","2569688",2584608,"3288577",1716933,1571644,1199479,"406362",1605841,2724328,1478954,"948122",2892
545,"andHRA PRADESH","West Godavari","3936966","1964918",1972048,"2652389",1379223,1273166,1007255,"248373",1255628,2051513,1127764,"755533",2156
546,"andHRA PRADESH","Krishna","4517398","2267375",2250023,"3009718",1598959,1410759,909292,"567042",1476334,2340943,1284630,"833959",57866
547,"andHRA PRADESH","Guntur","4887813","2440521",2447292,"2960441",1634726,1325715,1069877,"513113",1582990,2583462,1371811,"928462",4078
549,"andHRA PRADESH","Sri Potti Sriramulu Nellore","2963557","1492974",1470583,"1832189",1011922,820267,689137,"264376",953513,1574713,840448,"544022",4374
550,"andHRA PRADESH","Y.S.R.","2882469","1451777",1430692,"1716766",994699,722067,590589,"293504",884093,1553667,793583,"530412",4807
551,"andHRA PRADESH","Kurnool","4053463","2039227",2014236,"2127161",1246369,880792,783853,"306982",1090835,2368684,1053618,"609027",22134
552,"andHRA PRADESH","Anantapur","4081148","2064495",2016653,"2310960",1338474,972486,902997,"341431",1244428,2189396,1104565,"739612",47575
555,"KARNATAKA","Bagalkot","1889752","950111",939641,"1113412",641388,472024,324799,"165858",490657,1123443,465706,"299774",829
557,"KARNATAKA","Bidar","1703300","870665",832635,"1042673",597198,445475,287134,"102269",389403,1018195,397120,"287271",714
559,"KARNATAKA","Koppal","1389920","699926",689994,"809085",468785,340300,272968,"64681",337649,855430,330393,"202984",1113
563,"KARNATAKA","Haveri","1597668","819128",778540,"1085443",603793,481650,315076,"98488",413564,904453,426094,"1119844",535
564,"KARNATAKA","Bellary","2452595","1236954",1215641,"1421621",813440,608181,371604,"251876",623480,1487013,617276,"346905",1401
565,"KARNATAKA","Chitradurga","1659456","840843",818613,"1087392",607188,480204,349704,"97644",447348,891230,460057,"306412",1757
566,"KARNATAKA","Davanagere","1945497","986400",959097,"1308540",720637,587903,354680,"176011",530691,1068518,538551,"336173",2255
569,"KARNATAKA","Chikmagalur","1137961","566622",571339,"818345",438257,380088,311660,"80766",392426,564994,341380,"230864",723
571,"KARNATAKA","Bangalore","9621551","5022661",4598890,"7512276",4078041,3434235,300576,"2967384",3267960,5275666,2909575,"1424195",12115
572,"KARNATAKA","Mandya","1805769","905085",900684,"1149649",638668,510981,458867,"103435",562302,902307,527236,"375100",1126
573,"KARNATAKA","Hassan","1776421","883667",892754,"1225256",668836,556420,496103,"132878",628981,877340,522039,"1422244",1124
576,"KARNATAKA","Mysore","3001127","1511600",1489527,"1962180",1063766,898414,540596,"380386",920982,1580116,865220,"553705",2086
579,"KARNATAKA","Yadgir","1174271","590329",583942,"510003",306751,203252,207787,"55208",262995,738451,267222,"168186",412
580,"KARNATAKA","Kolar","1536401","776396",760005,"1016219",564110,452109,326567,"151042",477609,841499,419380,"274240",1282
584,"GOA","North Goa","818008","416677",401331,"663060",351738,311322,115859,"209230",325089,380926,260533,"175035",1514
585,"GOA","South Goa","640537","322463",318074,"502427",264085,238342,88620,"162873",251493,314480,194872,"130605",580
587,"KERALA","Kasaragod","1307375","628613",678762,"1037492",516476,521016,251641,"166164",417805,688763,369883,"246975",1754
588,"KERALA","Kannur","2523003","1181446",1341557,"2138434",1012956,1125478,306288,"566191",872479,1187177,741984,"588081",5761
589,"KERALA","Wayanad","817420","401684",415736,"645585",328136,317449,266183,"11805",277988,412806,246590,"157326",698
590,"KERALA","Kozhikode","3086293","1470942",1615351,"2615443",1266939,1348504,323793,"666543",990336,1487644,909581,"686109",2959
591,"KERALA","Malappuram","4112920","1960328",2152592,"3311315",1597404,1713911,634543,"522586",1157129,2406005,1041361,"662311",3243
594,"KERALA","Ernakulam","3282388","1619557",1662831,"2855676",1425723,1429953,369694,"804997",1174691,1396968,1024720,"858010",2690
595,"KERALA","Idukki","1108974","552808",556166,"923010",471881,451129,391610,"20823",412433,494456,352163,"261471",884
596,"KERALA","Kottayam","1974551","968289",1006262,"1749798",861592,888206,481967,"196194",678161,811653,596302,"565048",1548
597,"KERALA","Alappuzha","2127789","1013142",1114647,"1852797",890552,962245,331419,"392117",723536,891512,648522,"585591",2164
600,"KERALA","Thiruvananthapuram","3301427","1581678",1719749,"2785408",1354857,1430551,559293,"609824",1169117,1488441,989238,"820024",3724
601,"TAMIL NADU","Thiruvallur","3728104","1876062",1852042,"2791721",1495711,1296010,387237,"732196",1119433,1925296,1154775,"643614",4419
602,"TAMIL NADU","Chennai","4646732","2335844",2310888,"3776276",1968079,1808197,0,"1314125",1314125,2271657,1468902,"899279",6894
603,"TAMIL NADU","Kancheepuram","3998252","2012958",1985294,"3013382",1611461,1401921,438799,"774705",1213504,2076492,1200284,"715895",5581
604,"TAMIL NADU","Vellore","3936331","1961688",1974643,"2773928",1504355,1269573,653499,"486801",1140300,2096113,1116437,"720713",3068
605,"TAMIL NADU","Tiruvannamalai","2464875","1235889",1228986,"1626813",909803,717010,563102,"147061",710163,1301347,683904,"477668",1956
606,"TAMIL NADU","Viluppuram","3458873","1740819",1718054,"2195776",1234479,961297,808042,"159272",967314,1881463,949892,"624042",3476
607,"TAMIL NADU","Salem","3482056","1781571",1700485,"2285562",1285107,1000455,572813,"597539",1170352,1737345,1029479,"713294",1938
610,"TAMIL NADU","The Nilgiris","735394","360143",375251,"569647",299447,270200,112126,"151979",264105,352516,231451,"150804",623
611,"TAMIL NADU","Dindigul","2159775","1080938",1078837,"1481834",816180,665654,443818,"269724",713542,1065734,647806,"443528",2707
612,"TAMIL NADU","Karur","1064493","528184",536309,"727044",401726,325318,212241,"152420",364661,501585,320645,"241843",420
613,"TAMIL NADU","Tiruchirappalli","2722290","1352284",1370006,"2038981",1087765,951216,452707,"423020",875727,1346661,797258,"575960",2411
614,"TAMIL NADU","Perambalur","565223","282157",283066,"375823",208011,167812,155413,"33179",188592,291371,158218,"115151",483
615,"TAMIL NADU","Ariyalur","754894","374703",380191,"480604",269582,211022,223955,"30322",254277,380484,216103,"157771",536
616,"TAMIL NADU","Cuddalore","2605914","1311697",1294217,"1815281",1000322,814959,497429,"260780",758209,1364411,764669,"473617",3217
618,"TAMIL NADU","Thiruvarur","1264277","626693",637584,"946471",503085,443386,321331,"86848",408179,627880,377118,"257116",2163
619,"TAMIL NADU","Thanjavur","2405890","1182416",1223474,"1790998",944264,846734,479070,"274302",753372,1193095,712017,"499235",1543
620,"TAMIL NADU","Pudukkottai","1618345","803188",815157,"1110545",608776,501769,399712,"104229",503941,835853,470428,"311175",889
621,"TAMIL NADU","Sivaganga","1339101","668672",670429,"959744",526304,433440,309224,"143193",452417,666218,391356,"280462",1065
624,"TAMIL NADU","Virudhunagar","1942288","967709",974579,"1398788",760375,638413,363782,"370942",734724,987538,575006,"378174",1570
627,"TAMIL NADU","Tirunelveli","3077233","1520912",1556321,"2273457",1210710,1062747,547962,"516705",1064667,1554277,876129,"644563",2264
628,"TAMIL NADU","Kanniyakumari","1870374","926345",944029,"1548738",780541,768197,104253,"493788",598041,887052,556548,"425849",925
629,"TAMIL NADU","Dharmapuri","1506843","774303",732540,"917709",527599,390110,396819,"91107",487926,804186,434328,"267536",793
631,"TAMIL NADU","Coimbatore","3458045","1729297",1728748,"2635907",1394790,1241117,284795,"884957",1169752,1579517,1117221,"2999318",3569
633,"PONDICHERRY","Yanam","55626","27301",28325,"39274",19919,19355,0,"15519",15519,31973,15235,"8402",16
634,"PONDICHERRY","PONDICHERRY","950289","468258",482031,"726649",380946,345703,87296,"203741",291037,473705,299746,"176204",634
638,"andAMAN and NICOBAR ISLandS","North  AND Middle Andaman","105597","54861",50736,"78683",43186,35497,39091,"1094",40185,57350,30741,"17464",42
639,"andAMAN and NICOBAR ISLandS","South Andaman","238142","127283",110859,"190266",105794,84472,34901,"50631",85532,128402,76332,"33128",280
