,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
825,B00N1U7JXM,3M Post-it Sticky No,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",90,175,49,4.4,7429
826,B08HQL67D6,OFIXO Multi-Purpose ,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,599,599,0,4.0,26423
827,B09RKFBCV7,Fire-Boltt Ninja Cal,Electronics|WearableTechnology|SmartWatches,1999,7999,75,4.2,31305
828,B08KHM9VBJ,Airtel AMF-311WW Dat,Computers&Accessories|NetworkingDevices|DataCards&Dongles,2099,3250,35,3.8,11213
829,B01IOZUHRS,Gizga Essentials Lap,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,179,499,64,4.1,10174
830,B00CEQEGPI,Logitech MK270r USB ,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1345,2295,41,4.2,17413
831,B08B6XWQ1C,DIGITEK® (DTR-200MT),Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,349,995,65,4.2,6676
832,B01DGVKBC6,FEDUS Cat6 Ethernet ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,287,499,42,4.4,8076
833,B008FWZGSG,Samsung Original Typ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0,4.3,355
834,B08JD36C6H,Kingston DataTravele,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,349,450,22,4.1,18656
835,B00E3DVQFS,Duracell Rechargeabl,Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,879,1109,21,4.4,31599
836,B0B4HJNPV4,pTron Solero T351 3.,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,999,80,3.9,1075
837,B00BN5SNF0,ENVIE® (AA10004PLNi-,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,250,250,0,3.9,13971
838,B09SGGRKV8,ZEBRONICS Zeb-Buds 3,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",199,499,60,3.6,2492
839,B07XLCFSSN,Amazonbasics Nylon B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,899,1900,53,4.4,13552
840,B09RZS1NQT,Sounce 65W OnePlus D,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,999,80,4.0,575
841,B084BR3QX8,LAPSTER Accessories ,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,149,999,85,3.5,2523
842,B09VC2D2WG,Portronics Ruffpad 1,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",469,1499,69,4.1,352
843,B09163Q5CD,Verilux® USB C Hub M,Computers&Accessories|Accessories&Peripherals|USBHubs,1187,1929,38,4.1,1662
844,B08K9PX15C,Zebronics Zeb Wonder,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,849,1499,43,4.0,7352
845,B083RD1J99,HP Wired Mouse 100 w,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",328,399,18,4.1,3441
846,B09Z7YGV3R,Anjaney Enterprise S,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,269,699,62,4.0,93
847,B00N3XLDW0,ENVIE ECR-20 Charger,Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,299,400,25,3.8,40895
848,B07Z53L5QL,ProElite Faux Leathe,"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",549,1499,63,4.3,11006
849,B00P93X0VO,Classmate Pulse 6 Su,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",114,120,5,4.2,8938
850,B07SBGFDX9,Pentonic Multicolor ,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",120,120,0,4.1,4308
851,B09C6HWG18,Duracell Type C To T,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970,1999,51,4.2,462
852,B00NH11KIK,AmazonBasics USB 2.0,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209,695,70,4.5,107686
853,B07X2L5Z8C,Logitech Pebble M350,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",1490,2295,35,4.6,10652
854,B00VA7YYUO,Apsara Platinum Penc,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,99,99,0,4.3,5036
855,B07L9FW9GF,Zebronics Zeb-Power ,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",149,249,40,4.0,5057
856,B08D64C9FN,Ant Esports GM320 RG,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,575,2799,79,4.2,8537
857,B07XJYYH7L,Wecool Nylon Braided,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,333,999,67,3.3,9792
858,B00LOD70SC,Pilot V7 Liquid Ink ,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",178,210,15,4.3,2450
859,B09X76VL5L,boAt Airdopes 191G T,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1599,3490,54,3.7,676
860,B091JF2TFD,Boult Audio BassBuds,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",499,1299,62,3.9,1173
861,B07S7DCJKS,IT2M Designer Mouse ,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",199,499,60,4.3,9998
862,B09NC2TY11,Noise ColorFit Ultra,Electronics|WearableTechnology|SmartWatches,2499,5999,58,4.1,5852
863,B0BDS8MY8J,Lapster Caddy for ss,Computers&Accessories|Components|InternalHardDrives,199,999,80,4.2,362
